"measureRepID","protocolID","sampleID","purpose","polygonID","siteID","datasetID","measureSetRepID","aDateStart","aDateEnd","reportDate","compartment","specimen","fraction","group","class","measure","value","unit","aggregation","nomenclature","index","measureLic","reportable","organizationID","contactID","refLink","lastEdited","notes"
"o.09.28.21nPPMoV2180","pgsSolidsPmmv","o.09.28.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-28",NA,"wat","sa","solid",NA,NA,"nPPMoV",26.82,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.29.21covN12181","pgsSolidsN1","o.09.29.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-29",NA,"wat","sa","solid",NA,NA,"covN1",0.00014,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.29.21covN12182","pgsSolidsN1","o.09.29.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-29",NA,"wat","sa","solid",NA,NA,"covN1",0.00002,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.29.21covN22183","pgsSolidsN2","o.09.29.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-29",NA,"wat","sa","solid",NA,NA,"covN2",0.00013,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.29.21covN22184","pgsSolidsN2","o.09.29.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-29",NA,"wat","sa","solid",NA,NA,"covN2",0.000025,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.29.21nPPMoV2185","pgsSolidsPmmv","o.09.29.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-29",NA,"wat","sa","solid",NA,NA,"nPPMoV",27.567,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.30.21covN12186","pgsSolidsN1","o.09.30.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-30",NA,"wat","sa","solid",NA,NA,"covN1",0.00005,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.30.21covN12187","pgsSolidsN1","o.09.30.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-30",NA,"wat","sa","solid",NA,NA,"covN1",0.000015,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.30.21covN22188","pgsSolidsN2","o.09.30.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-30",NA,"wat","sa","solid",NA,NA,"covN2",0.000045,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.30.21covN22189","pgsSolidsN2","o.09.30.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-30",NA,"wat","sa","solid",NA,NA,"covN2",0.000015,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.09.30.21nPPMoV2190","pgsSolidsPmmv","o.09.30.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-09-30",NA,"wat","sa","solid",NA,NA,"nPPMoV",27.93,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.01.21covN12191","pgsSolidsN1","o.10.01.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-01","2021-10-04","wat","sa","solid",NA,NA,"covN1",0.000031688,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.01.21covN12192","pgsSolidsN1","o.10.01.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-01","2021-10-04","wat","sa","solid",NA,NA,"covN1",0.000009106,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.01.21covN22193","pgsSolidsN2","o.10.01.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-01","2021-10-04","wat","sa","solid",NA,NA,"covN2",0.000032925,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.01.21covN22194","pgsSolidsN2","o.10.01.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-01","2021-10-04","wat","sa","solid",NA,NA,"covN2",0.000008638,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.01.21nPPMoV2195","pgsSolidsPmmv","o.10.01.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-01","2021-10-04","wat","sa","solid",NA,NA,"nPPMoV",26.29383407,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.02.21covN12196","pgsSolidsN1","o.10.02.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-02","2021-10-04","wat","sa","solid",NA,NA,"covN1",0.000057411,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.02.21covN12197","pgsSolidsN1","o.10.02.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-02","2021-10-04","wat","sa","solid",NA,NA,"covN1",0.000014405,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.02.21covN22198","pgsSolidsN2","o.10.02.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-02","2021-10-04","wat","sa","solid",NA,NA,"covN2",0.000053226,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.02.21covN22199","pgsSolidsN2","o.10.02.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-02","2021-10-04","wat","sa","solid",NA,NA,"covN2",0.000009463,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.02.21nPPMoV2200","pgsSolidsPmmv","o.10.02.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-02","2021-10-04","wat","sa","solid",NA,NA,"nPPMoV",26.53002233,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.03.21covN12201","pgsSolidsN1","o.10.03.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-03","2021-10-04","wat","sa","solid",NA,NA,"covN1",0.000035515,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.03.21covN12202","pgsSolidsN1","o.10.03.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-03","2021-10-04","wat","sa","solid",NA,NA,"covN1",0.000010209,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.03.21covN22203","pgsSolidsN2","o.10.03.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-03","2021-10-04","wat","sa","solid",NA,NA,"covN2",0.000040049,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.03.21covN22204","pgsSolidsN2","o.10.03.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-03","2021-10-04","wat","sa","solid",NA,NA,"covN2",0.000008111,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.03.21nPPMoV2205","pgsSolidsPmmv","o.10.03.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-03","2021-10-04","wat","sa","solid",NA,NA,"nPPMoV",26.36640081,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.04.21covN12206","pgsSolidsN1","o.10.04.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-04","2021-10-05","wat","sa","solid",NA,NA,"covN1",0.000032594,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.04.21covN12207","pgsSolidsN1","o.10.04.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-04","2021-10-05","wat","sa","solid",NA,NA,"covN1",0.00000777,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.04.21covN22208","pgsSolidsN2","o.10.04.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-04","2021-10-05","wat","sa","solid",NA,NA,"covN2",0.000034959,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.04.21covN22209","pgsSolidsN2","o.10.04.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-04","2021-10-05","wat","sa","solid",NA,NA,"covN2",0.000000805,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.04.21nPPMoV2210","pgsSolidsPmmv","o.10.04.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-04","2021-10-05","wat","sa","solid",NA,NA,"nPPMoV",27.08333333,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.05.21covN12211","pgsSolidsN1","o.10.05.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-05","2021-10-06","wat","sa","solid",NA,NA,"covN1",0.000111415,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.05.21covN12212","pgsSolidsN1","o.10.05.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-05","2021-10-06","wat","sa","solid",NA,NA,"covN1",0.000020066,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.05.21covN22213","pgsSolidsN2","o.10.05.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-05","2021-10-06","wat","sa","solid",NA,NA,"covN2",0.000091141,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.05.21covN22214","pgsSolidsN2","o.10.05.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-05","2021-10-06","wat","sa","solid",NA,NA,"covN2",0.000029163,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.05.21nPPMoV2215","pgsSolidsPmmv","o.10.05.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-05","2021-10-06","wat","sa","solid",NA,NA,"nPPMoV",27.23187885,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.06.21covN12216","pgsSolidsN1","o.10.06.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-06","2021-10-07","wat","sa","solid",NA,NA,"covN1",0.00002208,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.06.21covN12217","pgsSolidsN1","o.10.06.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-06","2021-10-07","wat","sa","solid",NA,NA,"covN1",0.000005595,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.06.21covN22218","pgsSolidsN2","o.10.06.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-06","2021-10-07","wat","sa","solid",NA,NA,"covN2",0.000087131,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.06.21covN22219","pgsSolidsN2","o.10.06.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-06","2021-10-07","wat","sa","solid",NA,NA,"covN2",0.000028834,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
